name1,name2,negative_pairs
Win_Aung,Jacques_Chirac,"['Win_Aung_0001.jpg', 'Jacques_Chirac_0005.jpg']"
Halle_Berry,Heath_Ledger,"['Halle_Berry_0003.jpg', 'Heath_Ledger_0002.jpg']"
Mike_Helton,Tony_Blair,"['Mike_Helton_0002.jpg', 'Tony_Blair_0014.jpg']"
Boris_Berezovsky,John_Taylor,"['Boris_Berezovsky_0002.jpg', 'John_Taylor_0002.jpg']"
Marie-Reine_Le_Gougne,Colin_Powell,"['Marie-Reine_Le_Gougne_0001.jpg', 'Colin_Powell_0083.jpg']"
Anders_Fogh_Rasmussen,George_W_Bush,"['Anders_Fogh_Rasmussen_0004.jpg', 'George_W_Bush_0344.jpg']"
Lisa_Raymond,Bill_Clinton,"['Lisa_Raymond_0002.jpg', 'Bill_Clinton_0013.jpg']"
Chris_Rock,Vince_Carter,"['Chris_Rock_0002.jpg', 'Vince_Carter_0004.jpg']"
Anna_Kournikova,Roh_Moo-hyun,"['Anna_Kournikova_0002.jpg', 'Roh_Moo-hyun_0008.jpg']"
Dick_Cheney,Charlton_Heston,"['Dick_Cheney_0007.jpg', 'Charlton_Heston_0002.jpg']"
Jose_Maria_Aznar,Gregg_Popovich,"['Jose_Maria_Aznar_0002.jpg', 'Gregg_Popovich_0005.jpg']"
Al_Sharpton,Rick_Stansbury,"['Al_Sharpton_0004.jpg', 'Rick_Stansbury_0002.jpg']"
Andre_Agassi,Georgi_Parvanov,"['Andre_Agassi_0030.jpg', 'Georgi_Parvanov_0002.jpg']"
Jean_Chretien,Andy_Roddick,"['Jean_Chretien_0048.jpg', 'Andy_Roddick_0001.jpg']"
Gregory_Geoffroy,Fred_Eckhard,"['Gregory_Geoffroy_0002.jpg', 'Fred_Eckhard_0003.jpg']"
Gerhard_Schroeder,John_Negroponte,"['Gerhard_Schroeder_0099.jpg', 'John_Negroponte_0006.jpg']"
Keanu_Reeves,GL_Peiris,"['Keanu_Reeves_0008.jpg', 'GL_Peiris_0004.jpg']"
George_W_Bush,Silvio_Berlusconi,"['George_W_Bush_0061.jpg', 'Silvio_Berlusconi_0017.jpg']"
Christine_Todd_Whitman,Iain_Duncan_Smith,"['Christine_Todd_Whitman_0004.jpg', 'Iain_Duncan_Smith_0001.jpg']"
Charles_Taylor,Tony_Blair,"['Charles_Taylor_0007.jpg', 'Tony_Blair_0117.jpg']"
Ana_Palacio,Rick_Carlisle,"['Ana_Palacio_0008.jpg', 'Rick_Carlisle_0001.jpg']"
Jacqueline_Obradors,Roman_Polanski,"['Jacqueline_Obradors_0002.jpg', 'Roman_Polanski_0004.jpg']"
Elizabeth_Shue,Caroline_Kennedy,"['Elizabeth_Shue_0001.jpg', 'Caroline_Kennedy_0001.jpg']"
Donald_Rumsfeld,Kim_Dae-jung,"['Donald_Rumsfeld_0107.jpg', 'Kim_Dae-jung_0005.jpg']"
Alexander_Losyukov,Silvia_Farina_Elia,"['Alexander_Losyukov_0004.jpg', 'Silvia_Farina_Elia_0003.jpg']"
Klaus_Zwickel,Jose_Maria_Aznar,"['Klaus_Zwickel_0001.jpg', 'Jose_Maria_Aznar_0014.jpg']"
Donald_Rumsfeld,Monica_Seles,"['Donald_Rumsfeld_0121.jpg', 'Monica_Seles_0005.jpg']"
Kamal_Kharrazi,Bobby_Robson,"['Kamal_Kharrazi_0003.jpg', 'Bobby_Robson_0002.jpg']"
Jennifer_Aniston,Robert_Kocharian,"['Jennifer_Aniston_0003.jpg', 'Robert_Kocharian_0001.jpg']"
John_Kerry,Jim_Harrick,"['John_Kerry_0006.jpg', 'Jim_Harrick_0001.jpg']"
Lindsay_Davenport,Clay_Aiken,"['Lindsay_Davenport_0010.jpg', 'Clay_Aiken_0005.jpg']"
Serena_Williams,George_W_Bush,"['Serena_Williams_0002.jpg', 'George_W_Bush_0242.jpg']"
Edmund_Stoiber,Barbra_Streisand,"['Edmund_Stoiber_0003.jpg', 'Barbra_Streisand_0002.jpg']"
Bill_Graham,Vidar_Helgesen,"['Bill_Graham_0008.jpg', 'Vidar_Helgesen_0002.jpg']"
Gray_Davis,Julianne_Moore,"['Gray_Davis_0011.jpg', 'Julianne_Moore_0005.jpg']"
Anders_Ebbeson,George_W_Bush,"['Anders_Ebbeson_0002.jpg', 'George_W_Bush_0159.jpg']"
Job_Cohen,Gerhard_Schroeder,"['Job_Cohen_0002.jpg', 'Gerhard_Schroeder_0040.jpg']"
Bertie_Ahern,Colin_Powell,"['Bertie_Ahern_0002.jpg', 'Colin_Powell_0046.jpg']"
Michael_Jordan,George_W_Bush,"['Michael_Jordan_0001.jpg', 'George_W_Bush_0204.jpg']"
Hugo_Chavez,Hans_Eichel,"['Hugo_Chavez_0009.jpg', 'Hans_Eichel_0002.jpg']"
Saddam_Hussein,Nancy_Pelosi,"['Saddam_Hussein_0010.jpg', 'Nancy_Pelosi_0006.jpg']"
Junichiro_Koizumi,Mohammad_Khatami,"['Junichiro_Koizumi_0026.jpg', 'Mohammad_Khatami_0010.jpg']"
Peter_Hillary,Princess_Elisabeth,"['Peter_Hillary_0001.jpg', 'Princess_Elisabeth_0002.jpg']"
George_W_Bush,John_Bolton,"['George_W_Bush_0265.jpg', 'John_Bolton_0003.jpg']"
Dolly_Parton,Natalie_Coughlin,"['Dolly_Parton_0001.jpg', 'Natalie_Coughlin_0001.jpg']"
Lleyton_Hewitt,Arturo_Gatti,"['Lleyton_Hewitt_0002.jpg', 'Arturo_Gatti_0001.jpg']"
Donald_Rumsfeld,Eduard_Shevardnadze,"['Donald_Rumsfeld_0119.jpg', 'Eduard_Shevardnadze_0005.jpg']"
Wesley_Clark,Hillary_Clinton,"['Wesley_Clark_0002.jpg', 'Hillary_Clinton_0007.jpg']"
Gerhard_Schroeder,Demetrius_Ferraciu,"['Gerhard_Schroeder_0076.jpg', 'Demetrius_Ferraciu_0002.jpg']"
Carlos_Moya,Megawati_Sukarnoputri,"['Carlos_Moya_0012.jpg', 'Megawati_Sukarnoputri_0005.jpg']"
Andre_Agassi,John_Ashcroft,"['Andre_Agassi_0023.jpg', 'John_Ashcroft_0013.jpg']"
Brigitte_Boisselier,Pedro_Almodovar,"['Brigitte_Boisselier_0001.jpg', 'Pedro_Almodovar_0002.jpg']"
Bill_McBride,Greg_Ostertag,"['Bill_McBride_0008.jpg', 'Greg_Ostertag_0002.jpg']"
Abdoulaye_Wade,Jesse_Ventura,"['Abdoulaye_Wade_0003.jpg', 'Jesse_Ventura_0001.jpg']"
Colin_Montgomerie,Larry_Johnson,"['Colin_Montgomerie_0002.jpg', 'Larry_Johnson_0002.jpg']"
Dick_Clark,Albert_Costa,"['Dick_Clark_0001.jpg', 'Albert_Costa_0001.jpg']"
Trent_Lott,Colin_Powell,"['Trent_Lott_0011.jpg', 'Colin_Powell_0205.jpg']"
Keanu_Reeves,Carlos_Moya,"['Keanu_Reeves_0007.jpg', 'Carlos_Moya_0012.jpg']"
George_W_Bush,Nicole_Kidman,"['George_W_Bush_0074.jpg', 'Nicole_Kidman_0019.jpg']"
Lleyton_Hewitt,Saddam_Hussein,"['Lleyton_Hewitt_0032.jpg', 'Saddam_Hussein_0018.jpg']"
Luiz_Inacio_Lula_da_Silva,Juan_Manuel_Marquez,"['Luiz_Inacio_Lula_da_Silva_0030.jpg', 'Juan_Manuel_Marquez_0001.jpg']"
John_Ashcroft,Ariel_Sharon,"['John_Ashcroft_0037.jpg', 'Ariel_Sharon_0017.jpg']"
Jean-Claude_Braquet,Roseanne_Barr,"['Jean-Claude_Braquet_0002.jpg', 'Roseanne_Barr_0002.jpg']"
Celine_Dion,Trent_Lott,"['Celine_Dion_0001.jpg', 'Trent_Lott_0007.jpg']"
Fayssal_Mekdad,John_Ashcroft,"['Fayssal_Mekdad_0002.jpg', 'John_Ashcroft_0045.jpg']"
George_Pataki,Hugh_Grant,"['George_Pataki_0003.jpg', 'Hugh_Grant_0004.jpg']"
David_Hyde_Pierce,Paul_Burrell,"['David_Hyde_Pierce_0001.jpg', 'Paul_Burrell_0005.jpg']"
Parris_Glendening,George_W_Bush,"['Parris_Glendening_0002.jpg', 'George_W_Bush_0530.jpg']"
Lim_Dong-won,Colin_Powell,"['Lim_Dong-won_0001.jpg', 'Colin_Powell_0133.jpg']"
George_W_Bush,Carla_Myers,"['George_W_Bush_0222.jpg', 'Carla_Myers_0002.jpg']"
Gilberto_Rodriguez_Orejuela,Jan_Ullrich,"['Gilberto_Rodriguez_Orejuela_0002.jpg', 'Jan_Ullrich_0006.jpg']"
John_Bolton,Yashwant_Sinha,"['John_Bolton_0013.jpg', 'Yashwant_Sinha_0003.jpg']"
Bill_Simon,Michael_Schumacher,"['Bill_Simon_0004.jpg', 'Michael_Schumacher_0018.jpg']"
Alejandro_Toledo,John_Travolta,"['Alejandro_Toledo_0030.jpg', 'John_Travolta_0003.jpg']"
Arnold_Palmer,Roger_Federer,"['Arnold_Palmer_0002.jpg', 'Roger_Federer_0010.jpg']"
George_W_Bush,Lucio_Gutierrez,"['George_W_Bush_0191.jpg', 'Lucio_Gutierrez_0011.jpg']"
Carlos_Menem,John_Howard,"['Carlos_Menem_0004.jpg', 'John_Howard_0006.jpg']"
Fred_Eckhard,John_Banko,"['Fred_Eckhard_0003.jpg', 'John_Banko_0001.jpg']"
Mohammed_Al-Douri,Steven_Spielberg,"['Mohammed_Al-Douri_0015.jpg', 'Steven_Spielberg_0006.jpg']"
Ariel_Sharon,Michael_Chiklis,"['Ariel_Sharon_0062.jpg', 'Michael_Chiklis_0003.jpg']"
Mary_Steenburgen,Ed_Rosenthal,"['Mary_Steenburgen_0002.jpg', 'Ed_Rosenthal_0003.jpg']"
Binyamin_Ben-Eliezer,Jonathan_Edwards,"['Binyamin_Ben-Eliezer_0003.jpg', 'Jonathan_Edwards_0005.jpg']"
Kate_Winslet,Emma_Thompson,"['Kate_Winslet_0002.jpg', 'Emma_Thompson_0003.jpg']"
Amelia_Vega,Roseanne_Barr,"['Amelia_Vega_0006.jpg', 'Roseanne_Barr_0001.jpg']"
Sylvester_Stallone,David_Beckham,"['Sylvester_Stallone_0001.jpg', 'David_Beckham_0019.jpg']"
Alejandro_Toledo,Vincent_Brooks,"['Alejandro_Toledo_0032.jpg', 'Vincent_Brooks_0006.jpg']"
Milo_Maestrecampo,Roy_Moore,"['Milo_Maestrecampo_0003.jpg', 'Roy_Moore_0005.jpg']"
Jason_Kidd,Princess_Masako,"['Jason_Kidd_0005.jpg', 'Princess_Masako_0001.jpg']"
Jesse_Ventura,Colin_Farrell,"['Jesse_Ventura_0003.jpg', 'Colin_Farrell_0003.jpg']"
George_W_Bush,Harrison_Ford,"['George_W_Bush_0269.jpg', 'Harrison_Ford_0005.jpg']"
Chok_Tong_Goh,Laura_Bush,"['Chok_Tong_Goh_0002.jpg', 'Laura_Bush_0013.jpg']"
Emma_Watson,Jack_Straw,"['Emma_Watson_0005.jpg', 'Jack_Straw_0013.jpg']"
Colin_Powell,Halle_Berry,"['Colin_Powell_0191.jpg', 'Halle_Berry_0006.jpg']"
Tony_Blair,Ariel_Sharon,"['Tony_Blair_0004.jpg', 'Ariel_Sharon_0068.jpg']"
Yao_Ming,William_Macy,"['Yao_Ming_0002.jpg', 'William_Macy_0005.jpg']"
Carlos_Menem,Gerhard_Schroeder,"['Carlos_Menem_0009.jpg', 'Gerhard_Schroeder_0066.jpg']"
Giuseppe_Gibilisco,Oscar_Elias_Biscet,"['Giuseppe_Gibilisco_0002.jpg', 'Oscar_Elias_Biscet_0002.jpg']"
Colin_Powell,Ariel_Sharon,"['Colin_Powell_0198.jpg', 'Ariel_Sharon_0045.jpg']"
Hugo_Chavez,Gerard_Depardieu,"['Hugo_Chavez_0009.jpg', 'Gerard_Depardieu_0001.jpg']"
Shimon_Peres,Vin_Diesel,"['Shimon_Peres_0008.jpg', 'Vin_Diesel_0001.jpg']"
Heidi_Fleiss,Norah_Jones,"['Heidi_Fleiss_0002.jpg', 'Norah_Jones_0011.jpg']"
Nadia_Petrova,Roh_Moo-hyun,"['Nadia_Petrova_0005.jpg', 'Roh_Moo-hyun_0016.jpg']"
Donald_Rumsfeld,Jennifer_Capriati,"['Donald_Rumsfeld_0021.jpg', 'Jennifer_Capriati_0023.jpg']"
John_Ashcroft,Gerhard_Schroeder,"['John_Ashcroft_0053.jpg', 'Gerhard_Schroeder_0041.jpg']"
Jean_Charest,George_W_Bush,"['Jean_Charest_0012.jpg', 'George_W_Bush_0169.jpg']"
Ray_Romano,Heinz_Feldmann,"['Ray_Romano_0009.jpg', 'Heinz_Feldmann_0003.jpg']"
Donald_Rumsfeld,Carla_Del_Ponte,"['Donald_Rumsfeld_0020.jpg', 'Carla_Del_Ponte_0001.jpg']"
Mark_Dacey,George_W_Bush,"['Mark_Dacey_0001.jpg', 'George_W_Bush_0254.jpg']"
John_Ashcroft,Recep_Tayyip_Erdogan,"['John_Ashcroft_0009.jpg', 'Recep_Tayyip_Erdogan_0006.jpg']"
Roger_Federer,Ana_Palacio,"['Roger_Federer_0008.jpg', 'Ana_Palacio_0006.jpg']"
Mahmoud_Abbas,Lleyton_Hewitt,"['Mahmoud_Abbas_0018.jpg', 'Lleyton_Hewitt_0003.jpg']"
